"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.17",1,0.551,0.551,2,2,1,1,0,0,0,0,0,0,1,0.548,0.548,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.188,0.188,2,2,1,1,0,0,0,0,0,0,1,0.783,0.783,2,2,1,1,0,0,0,0,0,0
"result.19",1,0.615,0.615,2,2,1,1,0,0,0,0,0,0,1,0.583,0.583,2,2,1,1,0,0,0,0,0,0
"result.20",1,0.454,0.454,2,2,1,1,0,0,0,0,0,0,1,0.688,0.688,2,2,1,1,0,0,0,0,0,0
"result.21",1,0.648,0.648,2,2,1,1,0,0,0,0,0,0,1,0.513,0.513,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.55,0.55,2,2,1,1,0,0,0,0,0,0,1,0.707,0.707,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.39,0.39,2,2,1,1,0,0,0,0,0,0,1,0.682,0.682,2,2,1,1,0,0,0,0,0,0
"result.24",0,0.02,0.245,2,2,1,1,1,0,1,0,1,0,1,0.443,0.443,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.503,0.503,2,2,1,1,0,0,0,0,0,0,1,0.448,0.448,2,2,1,1,0,0,0,0,0,0
"result.26",1,0.419,0.419,2,2,1,1,0,0,0,0,0,0,1,0.754,0.754,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.571,0.571,2,2,1,1,0,0,0,0,0,0,1,0.427,0.427,2,2,1,1,0,0,0,0,0,0
"result.28",1,0.58,0.58,2,2,1,1,0,0,0,0,0,0,1,0.683,0.683,2,2,1,1,0,0,0,0,0,0
"result.29",0,0.235,0.237,2,2,1,1,0,0,0,0,0,2,1,0.62,0.62,2,2,1,1,0,0,0,0,0,0
"result.30",1,0.576,0.576,2,2,1,1,0,0,0,0,0,0,1,0.714,0.714,2,2,1,1,0,0,0,0,0,0
"result.31",1,0.558,0.558,2,2,1,1,0,0,0,0,0,0,1,0.752,0.752,2,2,1,1,0,0,0,0,0,0
"result.32",1,0.41,0.41,2,2,1,1,0,0,0,0,0,0,1,0.588,0.588,2,2,1,1,0,0,0,0,0,0
"result.33",1,0.602,0.602,2,2,1,1,0,0,0,0,0,0,1,0.676,0.676,2,2,1,1,0,0,0,0,0,0
"result.34",1,0.311,0.311,2,2,1,1,0,0,0,0,0,0,1,0.621,0.621,2,2,1,1,0,0,0,0,0,0
"result.35",1,0.537,0.537,2,2,1,1,0,0,0,0,0,0,1,0.417,0.417,2,2,1,1,0,0,0,0,0,0
"result.36",0,0,0.359,2,2,1,1,0,0,0,0,2,0,1,0.743,0.743,2,2,1,1,0,0,0,0,0,0
"result.37",1,0.579,0.579,2,2,1,1,0,0,0,0,0,0,1,0.792,0.792,2,2,1,1,0,0,0,0,0,0
"result.38",1,0.629,0.629,2,2,1,1,0,0,0,0,0,0,1,0.674,0.674,2,2,1,1,0,0,0,0,0,0
"result.39",0,0.236,0.453,2,2,1,2,0,0,0,0,0,0,1,0.471,0.471,2,2,1,1,0,0,0,0,0,0
