"","B01_50","B01_100","B01_500","B01_1000"
"88",3.91202300524263,4.60517018535995,5.57276438983888,6.90775527850894
"89",3.91202300507782,4.60517018564976,6.21460809678263,6.90775527725572
"90",3.50669986482224,4.28692995697887,5.52513939361731,6.90775527639261
"91",3.9120230038528,4.60517018596127,6.21460809834355,6.90775527693989
"92",3.91202300500158,4.60517018594206,6.21460809217837,6.90775527803663
"93",3.91202300523457,2.94442721874754,4.04722313632354,6.90775527577074
"94",3.9120230051872,2.58680742990442,6.21460809755712,6.90775527762173
"95",3.49629133398544,1.16960408730362,6.21460809826846,6.76921710602494
"96",3.9120230053768,0.0907241997654111,6.21460809808627,6.90775526628266
"97",3.91202300537998,4.6051701859582,4.32657997702947,6.78975000653412
"98",3.91202300295506,4.55419736470467,6.21460809778236,5.24875198796411
"99",3.91202300539023,4.60517018529732,6.21460809592513,6.90775526129136
"100",3.91202300526002,1.43102726505033,6.21460809700156,6.26613619505673
"101",3.91202300530713,4.6051701852868,4.27593700910961,6.90763911124128
"102",3.91202300532373,4.6051701855432,6.2146080935029,4.05775557841292
"103",3.69243254450931,4.50062213078624,2.80389036906564,6.90775527799786
"104",3.48076928488431,1.9818601779933,5.09841502448768,5.96249889557475
"105",-4.47234809946327,4.44979384289608,6.21460809827465,4.98910364669865
"106",3.85692812024509,4.24214259036932,6.21460809798899,3.26039926066233
"107",3.91202298413409,3.20500318910337,4.49504962152963,6.90775527881902
"108",3.9120230054058,4.60517018588949,6.2146080983884,4.94794691769789
"109",3.91202300542304,4.60517018569518,5.66326950733668,6.90775527796592
"110",3.58100954334608,4.16336607414654,3.15835234929912,6.90775501008096
